HEARTBREAKER,,,0,NNP,*,T,HEARTBREAKER,*,*,*,*,*
High High,,,0,NNP,*,T,High High,*,*,*,*,*
How You Like That,,,0,NNP,*,T,How You Like That,*,*,*,*,*
Ice Cream,,,0,NNP,*,T,Ice Cream,*,*,*,*,*
IF YOU,,,0,NNP,*,T,IF YOU,*,*,*,*,*
I'M OK,,,0,NNP,*,T,I'M OK,*,*,*,*,*
ISLAND,,,0,NNP,*,T,ISLAND,*,*,*,*,*
Kill This Love,,,0,NNP,*,T,Kill This Love,*,*,*,*,*
LA-LA-LA,,,0,NNP,*,T,LA-LA-LA,*,*,*,*,*
LALISA,,,0,NNP,*,T,LALISA,*,*,*,*,*
LAST DANCE,,,0,NNP,*,T,LAST DANCE,*,*,*,*,*
LOSER,,,0,NNP,*,T,LOSER,*,*,*,*,*
LOVE ME LOVE ME,,,0,NNP,*,T,LOVE ME LOVE ME,*,*,*,*,*
Lovesick Girls,,,0,NNP,*,T,Lovesick Girls,*,*,*,*,*
Ma Girl,,,0,NNP,*,T,Ma Girl,*,*,*,*,*
MILLIONS,,,0,NNP,*,T,MILLIONS,*,*,*,*,*
MONSTER,,,0,NNP,*,T,MONSTER,*,*,*,*,*
MY HEAVEN,,,0,NNP,*,T,MY HEAVEN,*,*,*,*,*
MY TREASURE,,,0,NNP,*,T,MY TREASURE,*,*,*,*,*
Oh My Friend,,,0,NNP,*,T,Oh My Friend,*,*,*,*,*
Oh Yeah,,,0,NNP,*,T,Oh Yeah,*,*,*,*,*
Okey Dokey,,,0,NNP,*,T,Okey Dokey,*,*,*,*,*
On The Ground,,,0,NNP,*,T,On The Ground,*,*,*,*,*
one of a kind,,,0,NNP,*,T,one of a kind,*,*,*,*,*
Pretty Savage,,,0,NNP,*,T,Pretty Savage,*,*,*,*,*
REALLY REALLY,,,0,NNP,*,T,REALLY REALLY,*,*,*,*,*
RE-BYE,,,0,NNP,*,T,RE-BYE,*,*,*,*,*
Remember,,,0,NNP,*,T,Remember,*,*,*,*,*
Road Fighter,,,0,NNP,*,T,Road Fighter,*,*,*,*,*
RUNAWAY,,,0,NNP,*,T,RUNAWAY,*,*,*,*,*
SOLO,,,0,NNP,*,T,SOLO,*,*,*,*,*
SOSO,,,0,NNP,*,T,SOSO,*,*,*,*,*
STAY,,,0,NNP,*,T,STAY,*,*,*,*,*
STILL ALIVE,,,0,NNP,*,T,STILL ALIVE,*,*,*,*,*
This Love,,,0,NNP,*,T,This Love,*,*,*,*,*
Turn It Up,,,0,NNP,*,T,Turn It Up,*,*,*,*,*
We Belong Together,,,0,NNP,*,T,We Belong Together,*,*,*,*,*
WE LIKE 2 PARTY,,,0,NNP,*,T,WE LIKE 2 PARTY,*,*,*,*,*
거북선,,,0,NNP,*,T,거북선,*,*,*,*,*
거짓말,,,0,NNP,*,T,거짓말,*,*,*,*,*
겁,,,0,NNP,*,T,겁,*,*,*,*,*
공허해,,,0,NNP,*,T,공허해,*,*,*,*,*
그 XX,,,0,NNP,*,T,그 XX,*,*,*,*,*
