LA,,,0,NNP,지명,T,LA,*,*,*,*,*
가와사키,,,0,NNP,지명,F,가와사키,*,*,*,*,*
고베,,,0,NNP,지명,T,고베,*,*,*,*,*
나가사키,,,0,NNP,지명,F,나가사키,*,*,*,*,*
나고야,,,0,NNP,지명,F,나고야,*,*,*,*,*
난징,,,0,NNP,지명,T,난징,*,*,*,*,*
남아메리카,,,0,NNP,지명,F,남아메리카,*,*,*,*,*
뉴어크,,,0,NNP,지명,F,뉴어크,*,*,*,*,*
뉴욕,,,0,NNP,지명,T,뉴욕,*,*,*,*,*
다련,,,0,NNP,지명,T,다련,*,*,*,*,*
대만,,,0,NNP,지명,T,대만,*,*,*,*,*
도쿄,,,0,NNP,지명,F,도쿄,*,*,*,*,*
동남아시아,,,0,NNP,지명,F,동남아시아,*,*,*,*,*
라스베가스,,,0,NNP,지명,F,라스베가스,*,*,*,*,*
런던,,,0,NNP,지명,T,런던,*,*,*,*,*
로스앤젤레스,,,0,NNP,지명,F,로스앤젤레스,*,*,*,*,*
리마,,,0,NNP,지명,F,리마,*,*,*,*,*
마닐라,,,0,NNP,지명,F,마닐라,*,*,*,*,*
마이애미,,,0,NNP,지명,F,마이애미,*,*,*,*,*
마카오,,,0,NNP,지명,F,마카오,*,*,*,*,*
맨체스터,,,0,NNP,지명,F,맨체스터,*,*,*,*,*
멕시코,,,0,NNP,지명,F,멕시코,*,*,*,*,*
멜버른,,,0,NNP,지명,T,멜버른,*,*,*,*,*
미국,,,0,NNP,지명,T,미국,*,*,*,*,*
바르셀로나,,,0,NNP,지명,F,바르셀로나,*,*,*,*,*
방콕,,,0,NNP,지명,T,방콕,*,*,*,*,*
버밍엄,,,0,NNP,지명,T,버밍엄,*,*,*,*,*
베를린,,,0,NNP,지명,T,베를린,*,*,*,*,*
베이징,,,0,NNP,지명,T,베이징,*,*,*,*,*
브리즈번,,,0,NNP,지명,T,브리즈번,*,*,*,*,*
사이타마,,,0,NNP,지명,F,사이타마,*,*,*,*,*
산호세,,,0,NNP,지명,T,산호세,*,*,*,*,*
삿포로,,,0,NNP,지명,F,삿포로,*,*,*,*,*
상하이,,,0,NNP,지명,F,상하이,*,*,*,*,*
센다이,,,0,NNP,지명,F,센다이,*,*,*,*,*
시가,,,0,NNP,지명,F,시가,*,*,*,*,*
시드니,,,0,NNP,지명,F,시드니,*,*,*,*,*
시애틀,,,0,NNP,지명,T,시애틀,*,*,*,*,*
시카고,,,0,NNP,지명,F,시카고,*,*,*,*,*
심천,,,0,NNP,지명,T,심천,*,*,*,*,*
싱가포르,,,0,NNP,지명,F,싱가포르,*,*,*,*,*
싱가폴,,,0,NNP,지명,T,싱가폴,*,*,*,*,*
암스트레담,,,0,NNP,지명,T,암스트레담,*,*,*,*,*
애너하임,,,0,NNP,지명,T,애너하임,*,*,*,*,*
엘에이,,,0,NNP,지명,F,엘에이,*,*,*,*,*
영국,,,0,NNP,지명,T,영국,*,*,*,*,*
오사카,,,0,NNP,지명,F,오사카,*,*,*,*,*
오클랜드,,,0,NNP,지명,F,오클랜드,*,*,*,*,*
요코하마,,,0,NNP,지명,F,요코하마,*,*,*,*,*
우한,,,0,NNP,지명,T,우한,*,*,*,*,*
워싱턴 DC,,,0,NNP,지명,T,워싱턴 DC,*,*,*,*,*
일본,,,0,NNP,지명,T,일본,*,*,*,*,*
자카르타,,,0,NNP,지명,F,자카르타,*,*,*,*,*
중국,,,0,NNP,지명,T,중국,*,*,*,*,*
창사,,,0,NNP,지명,F,창사,*,*,*,*,*
창원,,,0,NNP,지명,T,창원,*,*,*,*,*
청두,,,0,NNP,지명,F,청두,*,*,*,*,*
충칭,,,0,NNP,지명,T,충칭,*,*,*,*,*
치바,,,0,NNP,지명,F,치바,*,*,*,*,*
쿠알라쿰푸르,,,0,NNP,지명,F,쿠알라쿰푸르,*,*,*,*,*
타이페이,,,0,NNP,지명,F,타이페이,*,*,*,*,*
태국,,,0,NNP,지명,T,태국,*,*,*,*,*
토론토,,,0,NNP,지명,F,토론토,*,*,*,*,*
파리,,,0,NNP,지명,F,파리,*,*,*,*,*
항저우,,,0,NNP,지명,F,항저우,*,*,*,*,*
호주,,,0,NNP,지명,F,호주,*,*,*,*,*
호치민,,,0,NNP,지명,T,호치민,*,*,*,*,*
홍콩,,,0,NNP,지명,T,홍콩,*,*,*,*,*
효고,,,0,NNP,지명,F,효고,*,*,*,*,*
후쿠오카,,,0,NNP,지명,F,후쿠오카,*,*,*,*,*
휴스턴,,,0,NNP,지명,T,휴스턴,*,*,*,*,*
네팔,,,0,NNP,지명,T,네팔,*,*,*,*,*
대한민국,,,0,NNP,지명,T,대한민국,*,*,*,*,*
한국,,,0,NNP,지명,T,한국,*,*,*,*,*
우리나라,,,0,NNP,지명,F,우리나라,*,*,*,*,*
경기도,,,0,NNP,지명,F,경기도,*,*,*,*,*
경기북부,,,0,NNP,지명,F,경기북부,*,*,*,*,*
경기남부,,,0,NNP,지명,F,경기남부,*,*,*,*,*
강원도,,,0,NNP,지명,F,강원도,*,*,*,*,*
충청도,,,0,NNP,지명,F,충청도,*,*,*,*,*
충청북도,,,0,NNP,지명,F,충청북도,*,*,*,*,*
충청남도,,,0,NNP,지명,F,충청남도,*,*,*,*,*
경상도,,,0,NNP,지명,F,경상도,*,*,*,*,*
경상북도,,,0,NNP,지명,F,경상북도,*,*,*,*,*
경상남도,,,0,NNP,지명,F,경상남도,*,*,*,*,*
전라도,,,0,NNP,지명,F,전라도,*,*,*,*,*
